,name,start_date,cur_date,current_price,current_rent,leveraged,noi_start,rate,irr
0,Patricia Manor Place,2013-10-01,2023-10-01,74740.7804,882.841639085221,0.8,0.0713236941555647,0.04733794565217391,0.309394383100118
1,Regency - Tanglewood - Marquee - Wildwood,2013-10-01,2023-10-01,75850.7831,910.265499831922,0.8,0.08607825472713154,0.04733794565217391,0.2903716222042876
2,Sutton Place,2013-10-01,2023-10-01,84325.743,842.8843412202657,0.8,0.07861842636393214,0.04733794565217391,0.32165569110430114
3,Turks (Approx) - Miami S. Beach 5 stars,2013-10-01,2023-10-01,451573.0711,5015.261253065663,0.8,0.0809059237848102,0.04733794565217391,0.33161795988157117
4,el retiro Farm,2013-10-01,2023-10-01,1520.760082437432,8.704751940365789,0.5,0.029778375027797146,0.04733794565217391,-0.08695748729534825
5,la moraleja Property,2013-10-01,2023-10-01,6225.534658245724,16.89546195711053,0.5,0.015737570905924418,0.011800937500000002,0.056037506265464776
6,la volcana Apartments,2013-10-01,2023-10-01,1634.243681581129,12.620470085466666,0.5,0.036956120508848,0.04733794565217391,-0.10058436413782434
7,lagasca Property,2013-10-01,2023-10-01,7385.972599375407,22.893082950359236,0.5,0.01945864510618286,0.011800937500000002,0.07653175752564279
